Business_Type,Store_Closures_2024,Survival_Rate_Percentage,Online_Transition_Success,Average_Closure_Size_Sqft,Employment_Impact_Per_Closure
Fashion Retail,2845,67,85,2500,8
Food & Beverage,1967,78,45,1800,12
Electronics,1234,72,92,3200,6
Home & Garden,1456,69,67,4500,15
Health & Beauty,987,81,78,1200,5
Books & Stationery,1123,58,89,2200,4
Sports & Leisure,789,75,73,3800,9
Department Stores,456,34,56,15000,45
Banks,2156,45,23,2800,3
Pharmacies,567,85,67,1500,7
Pubs & Restaurants,1890,62,34,2800,18
